time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130116:1200,-4.68,34.8,0,0,0,181.3,2.41,76,83990
20130116:1300,-5.69,37.7,0,0,0,180.55,2.14,87,84010
20130116:1400,-6.55,39.25,0,0,0,179.6,2,98,84020
20130116:1500,-7.4,42.55,0,0,0,179.2,2,107,84010
20130116:1600,-8.24,46.2,0,0,0,178.8,2.07,114,83980
20130116:1700,-8.99,48.1,0,0,0,179,2.21,119,83940
20130116:1800,-9.63,50.15,0,0,0,179.4,2.34,122,83910
20130116:1900,-10.21,50,0,0,0,179.95,2.28,128,83850
20130116:2000,-10.79,52.15,0,0,0,179.75,2.07,132,83840
20130116:2100,-11.42,54.35,0,0,0,180.15,2,136,83720
20130116:2200,-11.96,54.25,0,0,0,180.95,2.07,141,83680
20130116:2300,-12.34,56.55,0,0,0,181.3,2.21,148,83640
20130117:0000,-12.53,56.55,0,0,0,182.85,2.28,152,83670
20130117:0100,-11.97,56.7,187.05,1098.62,51.8,184.7,2.28,153,83690
20130117:0200,-8.14,46.2,357.4,1012.7,71.2,188.5,2.07,156,83730
20130117:0300,-3.24,33.75,489.55,998.96,81.8,192.15,2.28,160,83730
20130117:0400,-0.18,29.1,566.2,975.08,87.2,196.8,3.72,172,83680
20130117:0500,1.75,28.3,579.35,934.14,87.85,200.3,4.34,178,83600
20130117:0600,2.9,27.4,527.45,868.22,84.2,203,3.93,180,83490
20130117:0700,3.16,26.4,415,761.73,75.7,203.6,3.59,178,83430
20130117:0800,3.49,26.4,255.2,580.97,60.4,204.35,3.03,180,83440
20130117:0900,3.29,26.4,79.55,271.8,28.55,204.75,2.41,180,83450
20130117:1000,2.19,29.7,0.2,0,0.2,202.6,1.45,174,83470
20130117:1100,0.64,32.05,0,0,0,201.25,0.97,167,83480
20130117:1200,0.01,31.9,0,0,0,201.65,0.83,176,83510
20130117:1300,-0.98,34.45,0,0,0,200.85,0.9,201,83500
20130117:1400,-1.85,37.25,0,0,0,200.3,0.9,242,83500
20130117:1500,-3.81,43.6,0,0,0,199.5,1.1,276,83530
20130117:1600,-5.41,49.1,0,0,0,198.35,1.31,286,83550
20130117:1700,-6.88,55.45,0,0,0,196.2,1.52,281,83580
20130117:1800,-8,60.1,0,0,0,193.7,1.66,265,83590
20130117:1900,-8.57,62.65,0,0,0,194.7,1.24,252,83490
20130117:2000,-9.33,68,0,0,0,194.1,1.24,252,83450
20130117:2100,-9.96,68,0,0,0,194.1,1.17,253,83400
20130117:2200,-10.02,68,0,0,0,193.7,0.9,253,83360
20130117:2300,-10.05,68,0,0,0,193.3,0.69,255,83310
20130118:0000,-11.41,77.05,0,0,0,198.55,1.38,260,83400
20130118:0100,-11.07,73.9,145.25,578.25,73.2,205.25,1.17,239,83500
20130118:0200,-7.79,65.5,271.6,572.99,108.6,215.75,0.69,211,83500
20130118:0300,-4.02,49.55,402.15,638.87,139.95,214.8,0.34,183,83470
20130118:0400,-1.67,48.05,484.95,663.07,157.5,222.95,0.55,138,83400
20130118:0500,-0.14,48.45,514.45,713.14,137.15,226.8,1.45,134,83300
20130118:0600,1.07,46.75,525.9,859.75,84.25,227.6,1.79,129,83180
20130118:0700,1.55,46.9,411.65,745.81,76.95,211.7,2,118,83090
20130118:0800,2.27,45.15,254.6,570.67,61.3,212.85,2.34,109,83070
20130118:0900,2.46,45.15,80.3,265.37,29.6,210.15,2.48,100,83020
20130118:1000,1.48,48.7,0.3,0,0.3,209.2,1.86,64,83040
20130118:1100,-0.37,50.5,0,0,0,207.45,2.14,48,83070
20130118:1200,-2.3,54.3,0,0,0,207.65,2.14,48,83120
20130118:1300,-3.55,58.6,0,0,0,206.85,2.14,42,83140
20130118:1400,-4.43,58.5,0,0,0,207.25,1.72,50,83100
20130118:1500,-4.06,58.5,0,0,0,206.85,1.17,76,83040
20130118:1600,-3.89,58.6,0,0,0,206.85,0.97,86,82950
20130118:1700,-4.31,60.95,0,0,0,207.65,0.9,86,82870
20130118:1800,-5.76,68.75,0,0,0,210.75,1.24,84,82820
20130118:1900,-6.06,65.95,0,0,0,215,1.03,29,82780
20130118:2000,-6.91,74.55,0,0,0,221.95,1.24,5,82770
20130118:2100,-7.87,77.55,0,0,0,231.45,1.59,322,82750
20130118:2200,-8.02,74.35,0,0,0,242.65,2.14,308,82720
20130118:2300,-8.14,71.2,0,0,0,247.1,2.28,311,82710
20130119:0000,-8.14,65.4,0,0,0,255.65,2.55,308,82760
20130119:0100,-8.07,60.1,68.55,39.62,63.55,256.15,2.21,304,82840
20130119:0200,-7.19,52.95,166.55,155.53,122,257.2,2.21,299,82900
20130119:0300,-5.85,44.9,183.9,69.05,155.4,260.5,3.17,305,82950
20130119:0400,-5.06,43.15,195,35.95,177.15,263.2,3.72,313,82900
20130119:0500,-4.35,39.85,262.15,120.57,198,279.65,4,318,82790
20130119:0600,-3.55,38.3,161.3,3.58,159.45,271.1,4.48,319,82720
20130119:0700,-4.41,41.6,150.05,23.44,139.45,279.05,3.93,321,82700
20130119:0800,-4.1,43.45,98.1,10.52,94.5,273.65,3.72,325,82730
20130119:0900,-3.99,41.75,33.75,0.51,33.65,275,3.72,324,82770
20130119:1000,-4.12,41.6,0.2,0,0.2,267.65,3.72,321,82890
20130119:1100,-4.26,39.85,0,0,0,270.55,3.79,318,83010
20130119:1200,-4.55,39.7,0,0,0,258.15,4.28,317,83120
20130119:1300,-4.93,36.35,0,0,0,249.25,4.55,313,83200
20130119:1400,-5.5,36.2,0,0,0,236.1,4.9,309,83260
20130119:1500,-6.21,39.25,0,0,0,228.35,5.38,309,83300
20130119:1600,-6.82,40.85,0,0,0,230.65,5.72,309,83340
20130119:1700,-7.4,44.5,0,0,0,221.75,5.72,310,83370
20130119:1800,-8.02,50.55,0,0,0,203.2,5.24,310,83430
20130119:1900,-8.44,50.45,0,0,0,215.4,5.03,311,83370
20130119:2000,-8.65,57.35,0,0,0,217.15,4.9,312,83380
20130119:2100,-8.8,57.35,0,0,0,220.8,4.55,312,83370
20130119:2200,-8.77,59.9,0,0,0,232.8,4.34,311,83410
20130119:2300,-8.85,62.5,0,0,0,231.65,4.28,306,83480
20130120:0000,-8.82,65.25,0,0,0,239,4.21,304,83560
20130120:0100,-8.79,65.25,71.05,13.29,69.35,240.65,4.14,306,83620
20130120:0200,-8.04,60.1,141.9,33.28,132.3,242.1,4,302,83680
20130120:0300,-7.02,55.45,248.4,61.42,222.9,242.85,5.03,305,83720
20130120:0400,-5.79,51.15,356.5,154.91,279.15,245,5.86,311,83680
20130120:0500,-4.65,47.2,388.25,187.23,288.05,240.55,6.14,315,83600
20130120:0600,-3.7,43.6,214.45,15.66,206.3,242.3,5.93,319,83520
20130120:0700,-4.27,45.35,195.6,38.4,178.1,257.95,5.79,322,83450
20130120:0800,-4.07,45.35,110.35,30.22,99.9,251.6,5.1,325,83500
20130120:0900,-4.14,45.35,36.9,12.37,34.45,246.35,4.41,326,83540
20130120:1000,-4.39,45.35,0.5,0,0.5,240.15,3.38,324,83640
20130120:1100,-4.8,47.2,0,0,0,239.2,2.62,312,83700
20130120:1200,-5.04,47.2,0,0,0,238.2,2.34,298,83770
20130120:1300,-5.42,49.1,0,0,0,233.4,2.21,291,83790
20130120:1400,-5.9,51.15,0,0,0,227.95,2.14,286,83800
20130120:1500,-6.57,55.45,0,0,0,216.75,2.07,280,83810
20130120:1600,-7.41,57.7,0,0,0,210.95,1.86,275,83770
20130120:1700,-8.36,62.65,0,0,0,199.5,1.93,266,83760
20130120:1800,-9.32,68,0,0,0,190.4,1.86,258,83750
20130120:1900,-9.96,68,0,0,0,194.7,1.66,251,83720
20130120:2000,-10.4,70.9,0,0,0,188.5,1.38,242,83670
20130120:2100,-11.28,73.8,0,0,0,187.9,1.59,238,83650
20130120:2200,-11.87,77,0,0,0,187.15,1.66,229,83660
20130120:2300,-12.4,76.9,0,0,0,186.55,1.66,220,83680
20130121:0000,-12.91,80.25,0,0,0,186.15,1.79,213,83710
20130121:0100,-12.69,80.25,189.9,1044.38,54.45,186.45,1.66,208,83740
20130121:0200,-8.97,62.5,361.05,984.81,74.8,189.25,1.38,201,83780
20130121:0300,-5.59,51.15,494.35,977.09,86.2,191.75,1.45,192,83800
20130121:0400,-3.49,41.9,571.9,955.5,92.05,195.85,1.86,189,83780
20130121:0500,-2.08,38.7,586.2,916.99,92.55,198.75,2.14,178,83690
20130121:0600,-1.19,35.8,533.65,854.81,86,200.85,1.93,157,83570
20130121:0700,-0.66,34.45,421.7,751.14,76.75,202.6,2.14,129,83450
20130121:0800,-0.45,34.6,261.9,570.02,62.75,203.6,2.28,120,83460
20130121:0900,-0.68,34.45,82.2,228.42,36.15,203.2,2.21,108,83490
20130121:1000,-1.48,35.8,0.75,0,0.75,206.1,1.72,89,83530
20130121:1100,-2.51,38.7,0,0,0,223.3,1.93,78,83590
20130121:1200,-3.45,41.9,0,0,0,223.7,1.72,87,83650
20130121:1300,-4.31,45.35,0,0,0,224.1,1.38,104,83680
20130121:1400,-4.83,47.2,0,0,0,216.75,1.03,134,83690
20130121:1500,-5.18,49.1,0,0,0,221.95,1.03,164,83670
20130121:1600,-5.86,51.15,0,0,0,214.4,1.24,180,83630
20130121:1700,-6.9,55.45,0,0,0,206.85,1.66,189,83580
20130121:1800,-7.83,60.1,0,0,0,199.15,1.93,193,83570
20130121:1900,-8.87,68.15,0,0,0,195.45,1.93,201,83480
20130121:2000,-9.54,71,0,0,0,196.6,2.07,208,83490
20130121:2100,-10.19,74,0,0,0,195.65,2.14,210,83430
20130121:2200,-10.65,77.15,0,0,0,198.35,2.07,212,83410
20130121:2300,-10.99,73.9,0,0,0,199.9,2.07,214,83420
20130122:0000,-11.3,77.05,0,0,0,198.95,2.14,218,83460
20130122:0100,-10.99,73.9,175.55,859.44,62.45,196.35,1.93,228,83540
20130122:0200,-7.52,57.7,319.35,664.66,124.65,206.3,1.86,232,83600
20130122:0300,-3.76,45.5,346.15,271.08,232.2,215.4,2,250,83630
20130122:0400,-1.62,38.9,426.2,356.52,246.1,233.6,3.52,289,83650
20130122:0500,-0.49,33.15,395.8,272.34,248.3,240.95,5.59,308,83600
20130122:0600,-0.32,36.1,341.95,189.6,242,250.05,5.59,304,83520
20130122:0700,-0.45,39.3,368.6,496.06,139,253.15,4.83,309,83470
20130122:0800,-0.07,37.7,270.5,588.6,62.7,228.75,3.59,302,83450
20130122:0900,-0.23,36.1,92.85,289.7,33.4,203.75,1.93,273,83430
20130122:1000,-1.02,39,0.95,0,0.95,198.75,1.66,184,83410
20130122:1100,-2.7,43.85,0,0,0,195.05,2,178,83380
20130122:1200,-4.18,49.4,0,0,0,193.7,2.21,188,83380
20130122:1300,-5.1,53.5,0,0,0,193.3,2.48,196,83350
20130122:1400,-5.66,55.7,0,0,0,192.75,2.83,199,83330
20130122:1500,-6.11,55.55,0,0,0,191.75,3.1,196,83300
20130122:1600,-6.84,57.85,0,0,0,190.8,3.1,194,83240
20130122:1700,-7.61,62.75,0,0,0,189.85,2.97,194,83170
20130122:1800,-8.38,65.4,0,0,0,189.25,2.83,194,83110
20130122:1900,-8.86,68.15,0,0,0,189.45,2.97,197,83070
20130122:2000,-9.5,68,0,0,0,188.5,2.9,197,83010
20130122:2100,-10.15,70.9,0,0,0,187.5,2.76,199,82960
20130122:2200,-10.75,73.9,0,0,0,186.55,2.55,204,82910
20130122:2300,-11.36,77.05,0,0,0,185.75,2.28,211,82950
20130123:0000,-11.77,77,0,0,0,185.2,2.34,218,83010
20130123:0100,-11.44,77.05,201.1,1100.28,54.1,184.7,2.41,227,83140
20130123:0200,-7.83,60.1,376.25,1025.05,73.55,186.95,2.21,242,83260
20130123:0300,-3.4,41.9,510.9,1003.95,86.15,189.85,3.38,294,83380
20130123:0400,-1.03,30.15,586.65,962.17,97.65,193.9,5.79,318,83450
20130123:0500,-0.09,25.55,595.75,893.95,108.6,196.6,6.83,323,83420
20130123:0600,0.34,24.6,546.2,836.5,102.25,197.95,7.31,324,83380
20130123:0700,0.45,24.6,418.85,710.56,87.35,198.15,7.66,328,83360
20130123:0800,0.27,24.6,277.1,592.28,65.8,203.2,7.72,332,83450
20130123:0900,-0.38,25.55,97.6,301.63,34.6,195.25,7.31,334,83550
20130123:1000,-1.72,30,1.15,0,1.15,192.35,6.21,334,83650
20130123:1100,-3.1,33.75,0,0,0,191,5.93,331,83750
20130123:1200,-4.02,35.1,0,0,0,189.85,5.72,329,83860
20130123:1300,-4.82,38,0,0,0,187.9,5.45,328,83940
20130123:1400,-5.59,41.15,0,0,0,185.4,4.97,327,83990
20130123:1500,-6.37,42.85,0,0,0,182.5,4.07,326,84020
20130123:1600,-7.3,46.5,0,0,0,179.6,2.83,321,84040
20130123:1700,-8.59,52.55,0,0,0,174.95,1.93,288,84040
20130123:1800,-9.8,52.4,0,0,0,170.7,2.07,252,84020
20130123:1900,-10.83,56.95,0,0,0,168.75,1.93,232,84000
20130123:2000,-11.78,61.95,0,0,0,167.2,1.86,217,83930
20130123:2100,-12.58,64.6,0,0,0,165.65,2.07,204,83830
20130123:2200,-13.3,70.3,0,0,0,164.5,2.21,195,83740
20130123:2300,-13.97,70.2,0,0,0,163.3,2.21,189,83700
20130124:0000,-14.51,73.3,0,0,0,162.95,2.28,189,83670
20130124:0100,-14.2,73.3,208.55,1128.9,55.35,162.85,2.21,191,83690
20130124:0200,-10,50.15,387.65,1050.98,74.7,165.65,2,188,83690
20130124:0300,-6.02,37.7,526.05,1034.16,85.6,168.95,2.48,185,83680
20130124:0400,-3.21,33.75,606.6,1008.26,91,173.6,2.83,188,83620
20130124:0500,-0.88,29,621.2,965.6,91.7,178.6,3.31,193,83530
20130124:0600,0.8,26.95,567.85,898.02,88,182.3,3.59,195,83390
20130124:0700,2.15,25,453.35,794.85,79.55,187.9,3.66,199,83320
20130124:0800,2.76,24.05,289.55,623.54,64.75,190.4,3.17,201,83320
20130124:0900,2.74,24.05,104.3,322.49,35.75,191.75,2.41,202,83320
20130124:1000,1.73,28.3,1.45,0,1.45,191,1.45,199,83330
20130124:1100,-0.62,34.45,0,0,0,190.4,1.24,201,83360
20130124:1200,-1.97,32.7,0,0,0,191.2,1.24,225,83400
20130124:1300,-3.92,38.3,0,0,0,190.8,1.52,248,83430
20130124:1400,-5.4,41.3,0,0,0,189.65,1.72,256,83470
20130124:1500,-6.19,42.85,0,0,0,188.1,1.79,261,83510
20130124:1600,-6.69,40.85,0,0,0,185.75,1.93,265,83530
20130124:1700,-7.21,40.7,0,0,0,185,2,269,83530
20130124:1800,-7.83,40.55,0,0,0,183.45,2,268,83510
20130124:1900,-8.46,42.25,0,0,0,183.45,1.86,257,83480
20130124:2000,-9.49,43.9,0,0,0,182.7,2.07,251,83450
20130124:2100,-10.31,43.75,0,0,0,182.1,2.28,247,83420
20130124:2200,-10.66,45.6,0,0,0,181.3,2.21,244,83420
20130124:2300,-10.82,43.6,0,0,0,181.3,2.14,242,83450
20130125:0000,-10.95,43.6,0,0,0,181.15,2.07,243,83480
20130125:0100,-10.55,41.8,208.2,1117.37,54.1,182.2,1.93,249,83530
20130125:0200,-7.36,34.05,382.05,1009.05,79,184.8,1.66,257,83570
20130125:0300,-2.07,22.85,512.3,954.49,103,188.7,2.14,269,83600
20130125:0400,0.66,18.95,591.4,930.32,112.65,193.9,3.38,286,83560
20130125:0500,2.31,16.75,607.1,896.69,112.25,197,4.41,295,83490
20130125:0600,3.34,14.85,557.4,839.35,105.8,198.15,4.55,298,83370
20130125:0700,3.79,14.3,446.5,763.8,84.4,198.75,4.14,308,83350
20130125:0800,4.03,13.7,293.05,638.55,60.4,197.95,3.93,310,83340
20130125:0900,3.79,13.7,107.1,333.33,35,196.8,3.52,311,83360
20130125:1000,2.64,15.45,1.65,0,1.65,195.05,2.34,313,83410
20130125:1100,0.38,25.7,0,0,0,192.75,2,312,83460
20130125:1200,-1.32,19.3,0,0,0,192.75,1.79,303,83500
20130125:1300,-2.11,20.85,0,0,0,192.35,1.79,294,83540
20130125:1400,-2.88,21.7,0,0,0,191.75,1.86,289,83550
20130125:1500,-3.67,23.5,0,0,0,191.2,1.93,287,83560
20130125:1600,-4.38,25.55,0,0,0,190.8,1.93,282,83570
20130125:1700,-5.22,28.95,0,0,0,189.65,1.93,279,83570
20130125:1800,-6.12,31.4,0,0,0,188.5,1.93,273,83560
20130125:1900,-6.38,31.4,0,0,0,188.7,1.86,263,83560
20130125:2000,-6.62,32.7,0,0,0,187.5,1.59,258,83540
20130125:2100,-7.62,35.45,0,0,0,186.55,1.59,254,83500
20130125:2200,-8.71,38.5,0,0,0,185.4,1.66,248,83500
20130125:2300,-9.8,40.1,0,0,0,185,1.79,241,83540
20130126:0000,-10.67,43.6,0,0,0,184.05,1.86,236,83580
20130126:0100,-10.71,41.65,210.8,1113.27,54.7,184.7,1.86,234,83620
20130126:0200,-7.1,34.05,388.3,1044.9,71.7,187.15,1.45,232,83680
20130126:0300,-1.85,23,504.25,977.6,82.1,190.05,1.52,234,83700
20130126:0400,0.92,20.7,597.7,958.92,101.05,195.25,1.93,258,83700
20130126:0500,2.43,19.2,612.1,926.3,97.6,197,2.76,287,83630
20130126:0600,3.4,17,567.55,880.31,90.6,199.15,3.31,300,83570
20130126:0700,3.89,16.4,460.5,803.15,76.65,199.3,3.66,310,83540
20130126:0800,4.22,15.1,296.35,633.48,63.1,198.75,3.79,318,83590
20130126:0900,3.93,15,109.95,335.79,36.05,198.15,3.59,326,83600
20130126:1000,2.77,16.9,1.95,0,1.95,197,2.28,339,83670
20130126:1100,0.66,36.4,0,0,0,195.25,1.59,347,83700
20130126:1200,0.2,18.8,0,0,0,195.65,0.97,334,83770
20130126:1300,-0.47,18.7,0,0,0,193.9,0.9,285,83800
20130126:1400,-2.19,22.85,0,0,0,194.1,1.31,254,83830
20130126:1500,-3.97,25.7,0,0,0,193.7,1.59,241,83830
20130126:1600,-4.96,27.85,0,0,0,193.3,1.72,230,83810
20130126:1700,-5.62,30.15,0,0,0,193.15,1.79,221,83800
20130126:1800,-6.3,30,0,0,0,193.3,1.86,216,83750
20130126:1900,-6.97,31.25,0,0,0,194.85,2.07,211,83720
20130126:2000,-7.61,33.9,0,0,0,195.45,2.14,209,83670
20130126:2100,-8.31,35.3,0,0,0,197,2.21,210,83620
20130126:2200,-9.01,36.8,0,0,0,195.65,2.21,211,83580
20130126:2300,-9.71,38.35,0,0,0,196.4,2.21,212,83580
20130127:0000,-10.31,39.95,0,0,0,194.1,2.28,212,83580
20130127:0100,-10.06,40.1,208.85,1074.53,55.6,193.8,2.14,211,83600
20130127:0200,-5.97,30.15,385.65,1018.15,74.35,196.4,1.66,209,83630
20130127:0300,-1.42,23.1,522.55,1005.01,85.45,199.15,1.72,204,83620
20130127:0400,1.54,20.85,602.95,982.01,91,202.8,1.52,200,83590
20130127:0500,3.44,19.45,618.7,942.34,91.85,206.3,1.17,194,83510
20130127:0600,4.58,17.4,568.25,879.74,88.25,208.6,0.83,183,83400
20130127:0700,5.29,17.5,456.15,780.65,80,210.15,0.97,185,83320
20130127:0800,5.49,17.5,294.95,616.62,65.5,211.15,0.41,43,83290
20130127:0900,5.38,17.5,111.3,327.84,37.9,209.95,1.45,23,83290
20130127:1000,4.5,18.85,2.25,0,2.25,207.45,1.86,19,83310
20130127:1100,2.58,27.4,0,0,0,204.55,1.93,14,83360
20130127:1200,0.43,33.3,0,0,0,203.95,1.72,3,83410
20130127:1300,0.47,22.5,0,0,0,207.45,1.24,343,83440
20130127:1400,-0.08,22.35,0,0,0,206.85,1.1,296,83430
20130127:1500,-1.84,25.15,0,0,0,207.45,1.45,261,83420
20130127:1600,-3.08,28.25,0,0,0,203.6,1.52,247,83390
20130127:1700,-3.91,29.4,0,0,0,204.75,1.59,237,83360
20130127:1800,-4.75,31.85,0,0,0,200.7,1.66,229,83320
20130127:1900,-5.2,33.15,0,0,0,203.4,1.86,213,83290
20130127:2000,-5.73,34.5,0,0,0,203.4,2,209,83230
20130127:2100,-6.41,35.9,0,0,0,201.85,2.14,212,83180
20130127:2200,-7.2,38.95,0,0,0,198.95,2.21,212,83160
20130127:2300,-7.77,40.55,0,0,0,209.95,2.21,209,83150
20130128:0000,-8.12,42.25,0,0,0,218.3,2.14,205,83160
20130128:0100,-7.96,40.55,153.5,412.41,93.65,223.05,1.86,213,83200
20130128:0200,-5.55,34.65,282.45,378.97,165.5,225.45,1.31,218,83240
20130128:0300,-1.53,26.25,394.3,391.34,222.85,239.6,1.1,217,83270
20130128:0400,1.07,22.65,486.8,468.55,240.9,245.6,0.83,217,83280
20130128:0500,2.92,20.2,537.75,606.78,196.25,242.1,0.48,223,83220
20130128:0600,4.23,18.05,548.6,773.34,123.65,232.4,0.48,262,83140
20130128:0700,5.62,15.45,454.75,753.8,88.55,218.1,1.03,318,83120
20130128:0800,6.03,15.45,300.35,628.76,63.9,214.2,1.24,345,83110
20130128:0900,5.9,15.45,115.15,337.45,38.3,209,1.24,9,83130
20130128:1000,5.2,16,2.55,0,2.55,207.45,1.1,50,83140
20130128:1100,3.21,35.45,0,0,0,205.3,0.97,89,83160
20130128:1200,2.76,17.65,0,0,0,204.15,0.9,129,83160
20130128:1300,1.7,19.05,0,0,0,202.2,1.03,154,83160
20130128:1400,0.46,21.5,0,0,0,201.25,1.24,177,83150
20130128:1500,-1.62,25.15,0,0,0,199.9,1.59,194,83160
20130128:1600,-3.4,28.25,0,0,0,198.75,2,204,83160
20130128:1700,-4.77,31.85,0,0,0,197.75,2.34,210,83180
20130128:1800,-5.69,34.5,0,0,0,196.4,2.55,213,83190
20130128:1900,-6.07,35.9,0,0,0,198.55,2.55,213,83190
20130128:2000,-6.71,37.4,0,0,0,198.35,2.41,213,83160
20130128:2100,-7.49,38.95,0,0,0,197,2.48,217,83120
20130128:2200,-8.17,42.25,0,0,0,196.4,2.41,222,83070
20130128:2300,-8.63,44.05,0,0,0,196.2,2.21,224,83090
20130129:0000,-9.21,45.9,0,0,0,196.6,2.28,226,83100
20130129:0100,-8.78,44.05,189.85,713.85,84.4,199.45,2.14,222,83190
20130129:0200,-4.8,33.3,330.75,541.01,162.2,211.7,1.45,223,83250
20130129:0300,0.05,23.5,474.45,683.54,172.75,220.05,0.97,246,83280
20130129:0400,2.88,21.1,555.2,715.03,177.4,229.3,0.9,294,83290
20130129:0500,4.27,18.05,574.3,723.36,164.45,229.3,2.41,345,83250
20130129:0600,4.93,15.9,481.65,492.46,209.1,226.6,3.79,356,83140
20130129:0700,5.39,16,302.3,150.06,228.8,237.85,4.07,6,83070
20130129:0800,5.01,15.2,159.6,47.36,141.6,262.6,4,4,83070
20130129:0900,4.44,15.1,63.05,25.26,57.2,265.5,3.86,1,83120
20130129:1000,3.64,16.4,2.4,0,2.4,268.4,2.9,357,83170
20130129:1100,2.68,19.3,0,0,0,274.2,2.28,345,83220
20130129:1200,1.7,27.1,0,0,0,274.2,2,331,83270
20130129:1300,0.69,37.95,0,0,0,275.2,1.45,326,83320
20130129:1400,1.22,21.65,0,0,0,269.2,0.76,285,83320
20130129:1500,0.13,26.85,0,0,0,270.95,1.1,246,83320
20130129:1600,-1.01,24.15,0,0,0,255.45,1.45,242,83320
20130129:1700,-1.89,26.25,0,0,0,252.15,1.72,233,83320
20130129:1800,-2.73,27.15,0,0,0,230.85,1.93,209,83280
20130129:1900,-3.55,26.9,0,0,0,210.75,2.07,198,83180
20130129:2000,-4.26,28,0,0,0,205.15,2.34,193,83140
20130129:2100,-4.89,27.85,0,0,0,203.2,2.48,191,83050
20130129:2200,-5.55,30.15,0,0,0,201.25,2.62,187,83010
20130129:2300,-6.06,31.4,0,0,0,199.15,2.9,183,82960
20130130:0000,-6.39,31.4,0,0,0,196.8,3.24,182,82920
20130130:0100,-5.65,33,221.7,1095.65,56.9,195,3.45,183,82890
20130130:0200,-1.8,26.25,402.55,1038.69,75.8,195.05,3.38,182,82900
20130130:0300,2.54,22.05,542.2,1024.78,86.45,197.6,4.21,182,82850
20130130:0400,4.89,20.7,623.45,999.34,91.8,202.2,6,181,82780
20130130:0500,6.47,20.2,638,956.01,92.65,206.85,6.9,181,82670
20130130:0600,7.75,18.9,588.65,896.33,89,212.7,7.1,182,82530
20130130:0700,8.48,16,476.25,801.22,80.55,213.65,6.97,183,82400
20130130:0800,8.94,16.15,311,635.69,66.85,217.3,6.48,183,82370
20130130:0900,9.02,16.85,123.5,351.35,40.75,218.65,5.38,180,82320
20130130:1000,8.01,18.9,3.25,0,3.25,219.45,3.72,169,82320
20130130:1100,6.16,25,0,0,0,216.75,2.76,160,82300
20130130:1200,3.64,38.7,0,0,0,217.15,2.48,160,82290
20130130:1300,1.75,39.75,0,0,0,219.45,2.48,168,82260
20130130:1400,0.68,33.45,0,0,0,225.45,2.76,184,82250
20130130:1500,0.18,33.3,0,0,0,221.6,3.24,204,82240
20130130:1600,-0.4,36.1,0,0,0,214.8,3.66,235,82300
20130130:1700,0.36,31.9,0,0,0,214.05,8.21,279,82570
20130130:1800,0.1,28.05,0,0,0,209.95,10.83,301,82750
20130130:1900,-0.18,34.6,0,0,0,211.7,8.34,311,82890
20130130:2000,-0.74,39.15,0,0,0,217.3,6.97,313,82970
20130130:2100,-1.6,44.15,0,0,0,212.1,5.86,314,83010
20130130:2200,-2.43,47.9,0,0,0,208.4,4.55,314,83080
20130130:2300,-3.25,51.8,0,0,0,205.9,3.59,313,83130
20130131:0000,-4.36,56.1,0,0,0,204.75,2.55,303,83180
20130131:0100,-4.68,58.35,217.95,1051.56,56.85,202.35,1.79,263,83250
20130131:0200,-1.91,46.05,396.75,1012.74,75,203.95,2,262,83320
20130131:0300,-0.14,41,535.5,1005.09,85.05,207.05,2.9,290,83350
20130131:0400,0.96,36.4,615.2,975.06,92.85,208.6,2.62,298,83320
20130131:0500,1.79,33.6,632.25,936.86,94.15,210.75,1.66,297,83250
20130131:0600,2.51,32.35,582.05,875.08,90.7,212.1,0.48,294,83160
20130131:0700,3.12,30,470.7,779.67,82.45,213.25,1.79,22,83150
20130131:0800,3.46,28.75,309.65,622.22,68.15,212.5,2.28,34,83160
20130131:0900,3.34,28.75,124.45,346.2,41.55,211.9,2.55,43,83200
20130131:1000,2.67,29.85,3.65,0,3.65,210.15,2.62,48,83220
20130131:1100,1.39,33.45,0,0,0,208.05,2.48,49,83270
20130131:1200,0.15,36.25,0,0,0,207.65,2.34,56,83310
20130131:1300,-1.27,39,0,0,0,206.1,2.21,70,83320
20130131:1400,-2.68,43.85,0,0,0,206.1,2.07,81,83310
20130131:1500,-3.35,45.65,0,0,0,206.1,1.79,86,83290
20130131:1600,-8.1,60.38,0,0,0,208.17,1.73,90,83270
20130131:1700,-7.44,57.91,0,0,0,206.59,1.73,89,83250
20130131:1800,-6.78,55.43,0,0,0,205.01,1.74,83,83230
20130131:1900,-6.12,52.96,0,0,0,203.43,1.74,45,83280
20130131:2000,-5.46,50.48,0,0,0,201.86,1.74,31,83260
20130131:2100,-4.8,48.01,0,0,0,200.28,1.75,12,83270
20130131:2200,-4.14,45.54,0,0,0,198.7,1.75,348,83320
20130131:2300,-3.48,43.06,0,0,0,197.12,1.75,331,83410
20070201:0000,-2.82,40.59,0,0,0,195.54,1.76,215,84230
20070201:0100,-2.15,38.11,230.7,1106.15,58.05,193.96,1.76,212,84270
20070201:0200,-1.49,35.64,414.35,1053.08,76.4,192.39,1.76,210,84280
20070201:0300,-0.83,33.17,556.35,1039.43,86.85,190.81,1.77,203,84270
20070201:0400,-0.17,30.69,640.1,1015.4,92.3,189.23,1.77,197,84240
20070201:0500,0.49,28.22,657.55,975.72,93.25,187.65,1.77,190,84150
20070201:0600,1.15,25.74,607.25,914.62,89.95,186.07,1.78,181,84030
